,FIPS,County or equivalent,State or equivalent
0,1001,Autauga County,Alabama
1,1003,Baldwin County,Alabama
2,1005,Barbour County,Alabama
3,1007,Bibb County,Alabama
4,1009,Blount County,Alabama
5,1011,Bullock County,Alabama
6,1013,Butler County,Alabama
7,1015,Calhoun County,Alabama
8,1017,Chambers County,Alabama
9,1019,Cherokee County,Alabama
10,1021,Chilton County,Alabama
11,1023,Choctaw County,Alabama
12,1025,Clarke County,Alabama
13,1027,Clay County,Alabama
14,1029,Cleburne County,Alabama
15,1031,Coffee County,Alabama
16,1033,Colbert County,Alabama
17,1035,Conecuh County,Alabama
18,1037,Coosa County,Alabama
19,1039,Covington County,Alabama
20,1041,Crenshaw County,Alabama
21,1043,Cullman County,Alabama
22,1045,Dale County,Alabama
23,1047,Dallas County,Alabama
24,1049,DeKalb County,Alabama
25,1051,Elmore County,Alabama
26,1053,Escambia County,Alabama
27,1055,Etowah County,Alabama
28,1057,Fayette County,Alabama
29,1059,Franklin County,Alabama
30,1061,Geneva County,Alabama
31,1063,Greene County,Alabama
32,1065,Hale County,Alabama
33,1067,Henry County,Alabama
34,1069,Houston County,Alabama
35,1071,Jackson County,Alabama
36,1073,Jefferson County,Alabama
37,1075,Lamar County,Alabama
38,1077,Lauderdale County,Alabama
39,1079,Lawrence County,Alabama
40,1081,Lee County,Alabama
41,1083,Limestone County,Alabama
42,1085,Lowndes County,Alabama
43,1087,Macon County,Alabama
44,1089,Madison County,Alabama
45,1091,Marengo County,Alabama
46,1093,Marion County,Alabama
47,1095,Marshall County,Alabama
48,1097,Mobile County,Alabama
49,1099,Monroe County,Alabama
50,1101,Montgomery County,Alabama
51,1103,Morgan County,Alabama
52,1105,Perry County,Alabama
53,1107,Pickens County,Alabama
54,1109,Pike County,Alabama
55,1111,Randolph County,Alabama
56,1113,Russell County,Alabama
57,1115,St. Clair County,Alabama
58,1117,Shelby County,Alabama
59,1119,Sumter County,Alabama
60,1121,Talladega County,Alabama
61,1123,Tallapoosa County,Alabama
62,1125,Tuscaloosa County,Alabama
63,1127,Walker County,Alabama
64,1129,Washington County,Alabama
65,1131,Wilcox County,Alabama
66,1133,Winston County,Alabama
67,2013,Aleutians East Borough[a],Alaska
68,2016,Aleutians West Census Area[b],Alaska
69,2020,"Anchorage, Municipality of[a][c]",Alaska
70,2050,Bethel Census Area[b],Alaska
71,2060,Bristol Bay Borough[a],Alaska
72,2063,Chugach Census Area[b],Alaska
73,2066,Copper River Census Area[b],Alaska
74,2068,Denali Borough[a],Alaska
75,2070,Dillingham Census Area[b],Alaska
76,2090,Fairbanks North Star Borough[a],Alaska
77,2100,Haines Borough[a],Alaska
78,2105,Hoonah–Angoon Census Area[b],Alaska
79,2110,"Juneau, City and Borough of[a][d]",Alaska
80,2122,Kenai Peninsula Borough[a],Alaska
81,2130,Ketchikan Gateway Borough[a],Alaska
82,2150,Kodiak Island Borough[a],Alaska
83,2158,Kusilvak Census Area[b],Alaska
84,2164,Lake and Peninsula Borough[a],Alaska
85,2170,Matanuska-Susitna Borough[a],Alaska
86,2180,Nome Census Area[b],Alaska
87,2185,North Slope Borough[a],Alaska
88,2188,Northwest Arctic Borough[a],Alaska
89,2195,Petersburg Borough[a][e],Alaska
90,2198,Prince of Wales – Hyder Census Area[b],Alaska
91,2220,"Sitka, City and Borough of[a][f]",Alaska
92,2230,"Skagway, Municipality of[a]",Alaska
93,2240,Southeast Fairbanks Census Area[b],Alaska
94,2275,"Wrangell, City and Borough of[a]",Alaska
95,2282,"Yakutat, City and Borough of[a][g]",Alaska
96,2290,Yukon–Koyukuk Census Area[b],Alaska
97,60010,Eastern District[2],American Samoa
98,60020,Manu'a District[2],American Samoa
99,60030,Rose Atoll (Rose Island)[2],American Samoa
100,60040,Swain's Island[2],American Samoa
101,60050,Western District[2],American Samoa
102,4001,Apache County,Arizona
103,4003,Cochise County,Arizona
104,4005,Coconino County,Arizona
105,4007,Gila County,Arizona
106,4009,Graham County,Arizona
107,4011,Greenlee County,Arizona
108,4012,La Paz County,Arizona
109,4013,Maricopa County,Arizona
110,4015,Mohave County,Arizona
111,4017,Navajo County,Arizona
112,4019,Pima County,Arizona
113,4021,Pinal County,Arizona
114,4023,Santa Cruz County,Arizona
115,4025,Yavapai County,Arizona
116,4027,Yuma County,Arizona
117,5001,Arkansas County,Arkansas
118,5003,Ashley County,Arkansas
119,5005,Baxter County,Arkansas
120,5007,Benton County,Arkansas
121,5009,Boone County,Arkansas
122,5011,Bradley County,Arkansas
123,5013,Calhoun County,Arkansas
124,5015,Carroll County,Arkansas
125,5017,Chicot County,Arkansas
126,5019,Clark County,Arkansas
127,5021,Clay County,Arkansas
128,5023,Cleburne County,Arkansas
129,5025,Cleveland County,Arkansas
130,5027,Columbia County,Arkansas
131,5029,Conway County,Arkansas
132,5031,Craighead County,Arkansas
133,5033,Crawford County,Arkansas
134,5035,Crittenden County,Arkansas
135,5037,Cross County,Arkansas
136,5039,Dallas County,Arkansas
137,5041,Desha County,Arkansas
138,5043,Drew County,Arkansas
139,5045,Faulkner County,Arkansas
140,5047,Franklin County,Arkansas
141,5049,Fulton County,Arkansas
142,5051,Garland County,Arkansas
143,5053,Grant County,Arkansas
144,5055,Greene County,Arkansas
145,5057,Hempstead County,Arkansas
146,5059,Hot Spring County,Arkansas
147,5061,Howard County,Arkansas
148,5063,Independence County,Arkansas
149,5065,Izard County,Arkansas
150,5067,Jackson County,Arkansas
151,5069,Jefferson County,Arkansas
152,5071,Johnson County,Arkansas
153,5073,Lafayette County,Arkansas
154,5075,Lawrence County,Arkansas
155,5077,Lee County,Arkansas
156,5079,Lincoln County,Arkansas
157,5081,Little River County,Arkansas
158,5083,Logan County,Arkansas
159,5085,Lonoke County,Arkansas
160,5087,Madison County,Arkansas
161,5089,Marion County,Arkansas
162,5091,Miller County,Arkansas
163,5093,Mississippi County,Arkansas
164,5095,Monroe County,Arkansas
165,5097,Montgomery County,Arkansas
166,5099,Nevada County,Arkansas
167,5101,Newton County,Arkansas
168,5103,Ouachita County,Arkansas
169,5105,Perry County,Arkansas
170,5107,Phillips County,Arkansas
171,5109,Pike County,Arkansas
172,5111,Poinsett County,Arkansas
173,5113,Polk County,Arkansas
174,5115,Pope County,Arkansas
175,5117,Prairie County,Arkansas
176,5119,Pulaski County,Arkansas
177,5121,Randolph County,Arkansas
178,5123,St. Francis County,Arkansas
179,5125,Saline County,Arkansas
180,5127,Scott County,Arkansas
181,5129,Searcy County,Arkansas
182,5131,Sebastian County,Arkansas
183,5133,Sevier County,Arkansas
184,5135,Sharp County,Arkansas
185,5137,Stone County,Arkansas
186,5139,Union County,Arkansas
187,5141,Van Buren County,Arkansas
188,5143,Washington County,Arkansas
189,5145,White County,Arkansas
190,5147,Woodruff County,Arkansas
191,5149,Yell County,Arkansas
192,6001,Alameda County,California
193,6003,Alpine County,California
194,6005,Amador County,California
195,6007,Butte County,California
196,6009,Calaveras County,California
197,6011,Colusa County,California
198,6013,Contra Costa County,California
199,6015,Del Norte County,California
200,6017,El Dorado County,California
201,6019,Fresno County,California
202,6021,Glenn County,California
203,6023,Humboldt County,California
204,6025,Imperial County,California
205,6027,Inyo County,California
206,6029,Kern County,California
207,6031,Kings County,California
208,6033,Lake County,California
209,6035,Lassen County,California
210,6037,Los Angeles County,California
211,6039,Madera County,California
212,6041,Marin County,California
213,6043,Mariposa County,California
214,6045,Mendocino County,California
215,6047,Merced County,California
216,6049,Modoc County,California
217,6051,Mono County,California
218,6053,Monterey County,California
219,6055,Napa County,California
220,6057,Nevada County,California
221,6059,Orange County,California
222,6061,Placer County,California
223,6063,Plumas County,California
224,6065,Riverside County,California
225,6067,Sacramento County,California
226,6069,San Benito County,California
227,6071,San Bernardino County,California
228,6073,San Diego County,California
229,6075,"San Francisco, City and County of[h]",California
230,6077,San Joaquin County,California
231,6079,San Luis Obispo County,California
232,6081,San Mateo County,California
233,6083,Santa Barbara County,California
234,6085,Santa Clara County,California
235,6087,Santa Cruz County,California
236,6089,Shasta County,California
237,6091,Sierra County,California
238,6093,Siskiyou County,California
239,6095,Solano County,California
240,6097,Sonoma County,California
241,6099,Stanislaus County,California
242,6101,Sutter County,California
243,6103,Tehama County,California
244,6105,Trinity County,California
245,6107,Tulare County,California
246,6109,Tuolumne County,California
247,6111,Ventura County,California
248,6113,Yolo County,California
249,6115,Yuba County,California
250,8001,Adams County,Colorado
251,8003,Alamosa County,Colorado
252,8005,Arapahoe County,Colorado
253,8007,Archuleta County,Colorado
254,8009,Baca County,Colorado
255,8011,Bent County,Colorado
256,8013,Boulder County,Colorado
257,8014,"Broomfield, City and County of[i]",Colorado
258,8015,Chaffee County,Colorado
259,8017,Cheyenne County,Colorado
260,8019,Clear Creek County,Colorado
261,8021,Conejos County,Colorado
262,8023,Costilla County,Colorado
263,8025,Crowley County,Colorado
264,8027,Custer County,Colorado
265,8029,Delta County,Colorado
266,8031,"Denver, City and County of[j]",Colorado
267,8033,Dolores County,Colorado
268,8035,Douglas County,Colorado
269,8037,Eagle County,Colorado
270,8039,Elbert County,Colorado
271,8041,El Paso County,Colorado
272,8043,Fremont County,Colorado
273,8045,Garfield County,Colorado
274,8047,Gilpin County,Colorado
275,8049,Grand County,Colorado
276,8051,Gunnison County,Colorado
277,8053,Hinsdale County,Colorado
278,8055,Huerfano County,Colorado
279,8057,Jackson County,Colorado
280,8059,Jefferson County,Colorado
281,8061,Kiowa County,Colorado
282,8063,Kit Carson County,Colorado
283,8065,Lake County,Colorado
284,8067,La Plata County,Colorado
285,8069,Larimer County,Colorado
286,8071,Las Animas County,Colorado
287,8073,Lincoln County,Colorado
288,8075,Logan County,Colorado
289,8077,Mesa County,Colorado
290,8079,Mineral County,Colorado
291,8081,Moffat County,Colorado
292,8083,Montezuma County,Colorado
293,8085,Montrose County,Colorado
294,8087,Morgan County,Colorado
295,8089,Otero County,Colorado
296,8091,Ouray County,Colorado
297,8093,Park County,Colorado
298,8095,Phillips County,Colorado
299,8097,Pitkin County,Colorado
300,8099,Prowers County,Colorado
301,8101,Pueblo County,Colorado
302,8103,Rio Blanco County,Colorado
303,8105,Rio Grande County,Colorado
304,8107,Routt County,Colorado
305,8109,Saguache County,Colorado
306,8111,San Juan County,Colorado
307,8113,San Miguel County,Colorado
308,8115,Sedgwick County,Colorado
309,8117,Summit County,Colorado
310,8119,Teller County,Colorado
311,8121,Washington County,Colorado
312,8123,Weld County,Colorado
313,8125,Yuma County,Colorado
314,9001,Fairfield County[k],Connecticut
315,9003,Hartford County[k],Connecticut
316,9005,Litchfield County[k],Connecticut
317,9007,Middlesex County[k],Connecticut
318,9009,New Haven County[k],Connecticut
319,9011,New London County[k],Connecticut
320,9013,Tolland County[k],Connecticut
321,9015,Windham County[k],Connecticut
322,10001,Kent County,Delaware
323,10003,New Castle County,Delaware
324,10005,Sussex County,Delaware
325,11001,District of Columbia[l],District of Columbia
326,12001,Alachua County,Florida
327,12003,Baker County,Florida
328,12005,Bay County,Florida
329,12007,Bradford County,Florida
330,12009,Brevard County,Florida
331,12011,Broward County,Florida
332,12013,Calhoun County,Florida
333,12015,Charlotte County,Florida
334,12017,Citrus County,Florida
335,12019,Clay County,Florida
336,12021,Collier County,Florida
337,12023,Columbia County,Florida
338,12027,DeSoto County,Florida
339,12029,Dixie County,Florida
340,12031,Duval County,Florida
341,12033,Escambia County,Florida
342,12035,Flagler County,Florida
343,12037,Franklin County,Florida
344,12039,Gadsden County,Florida
345,12041,Gilchrist County,Florida
346,12043,Glades County,Florida
347,12045,Gulf County,Florida
348,12047,Hamilton County,Florida
349,12049,Hardee County,Florida
350,12051,Hendry County,Florida
351,12053,Hernando County,Florida
352,12055,Highlands County,Florida
353,12057,Hillsborough County,Florida
354,12059,Holmes County,Florida
355,12061,Indian River County,Florida
356,12063,Jackson County,Florida
357,12065,Jefferson County,Florida
358,12067,Lafayette County,Florida
359,12069,Lake County,Florida
360,12071,Lee County,Florida
361,12073,Leon County,Florida
362,12075,Levy County,Florida
363,12077,Liberty County,Florida
364,12079,Madison County,Florida
365,12081,Manatee County,Florida
366,12083,Marion County,Florida
367,12085,Martin County,Florida
368,12086,Miami-Dade County,Florida
369,12087,Monroe County,Florida
370,12089,Nassau County,Florida
371,12091,Okaloosa County,Florida
372,12093,Okeechobee County,Florida
373,12095,Orange County,Florida
374,12097,Osceola County,Florida
375,12099,Palm Beach County,Florida
376,12101,Pasco County,Florida
377,12103,Pinellas County,Florida
378,12105,Polk County,Florida
379,12107,Putnam County,Florida
380,12109,St. Johns County,Florida
381,12111,St. Lucie County,Florida
382,12113,Santa Rosa County,Florida
383,12115,Sarasota County,Florida
384,12117,Seminole County,Florida
385,12119,Sumter County,Florida
386,12121,Suwannee County,Florida
387,12123,Taylor County,Florida
388,12125,Union County,Florida
389,12127,Volusia County,Florida
390,12129,Wakulla County,Florida
391,12131,Walton County,Florida
392,12133,Washington County,Florida
393,13001,Appling County,Georgia
394,13003,Atkinson County,Georgia
395,13005,Bacon County,Georgia
396,13007,Baker County,Georgia
397,13009,Baldwin County,Georgia
398,13011,Banks County,Georgia
399,13013,Barrow County,Georgia
400,13015,Bartow County,Georgia
401,13017,Ben Hill County,Georgia
402,13019,Berrien County,Georgia
403,13021,Bibb County,Georgia
404,13023,Bleckley County,Georgia
405,13025,Brantley County,Georgia
406,13027,Brooks County,Georgia
407,13029,Bryan County,Georgia
408,13031,Bulloch County,Georgia
409,13033,Burke County,Georgia
410,13035,Butts County,Georgia
411,13037,Calhoun County,Georgia
412,13039,Camden County,Georgia
413,13043,Candler County,Georgia
414,13045,Carroll County,Georgia
415,13047,Catoosa County,Georgia
416,13049,Charlton County,Georgia
417,13051,Chatham County,Georgia
418,13053,Chattahoochee County,Georgia
419,13055,Chattooga County,Georgia
420,13057,Cherokee County,Georgia
421,13059,Clarke County,Georgia
422,13061,Clay County,Georgia
423,13063,Clayton County,Georgia
424,13065,Clinch County,Georgia
425,13067,Cobb County,Georgia
426,13069,Coffee County,Georgia
427,13071,Colquitt County,Georgia
428,13073,Columbia County,Georgia
429,13075,Cook County,Georgia
430,13077,Coweta County,Georgia
431,13079,Crawford County,Georgia
432,13081,Crisp County,Georgia
433,13083,Dade County,Georgia
434,13085,Dawson County,Georgia
435,13087,Decatur County,Georgia
436,13089,DeKalb County,Georgia
437,13091,Dodge County,Georgia
438,13093,Dooly County,Georgia
439,13095,Dougherty County,Georgia
440,13097,Douglas County,Georgia
441,13099,Early County,Georgia
442,13101,Echols County,Georgia
443,13103,Effingham County,Georgia
444,13105,Elbert County,Georgia
445,13107,Emanuel County,Georgia
446,13109,Evans County,Georgia
447,13111,Fannin County,Georgia
448,13113,Fayette County,Georgia
449,13115,Floyd County,Georgia
450,13117,Forsyth County,Georgia
451,13119,Franklin County,Georgia
452,13121,Fulton County,Georgia
453,13123,Gilmer County,Georgia
454,13125,Glascock County,Georgia
455,13127,Glynn County,Georgia
456,13129,Gordon County,Georgia
457,13131,Grady County,Georgia
458,13133,Greene County,Georgia
459,13135,Gwinnett County,Georgia
460,13137,Habersham County,Georgia
461,13139,Hall County,Georgia
462,13141,Hancock County,Georgia
463,13143,Haralson County,Georgia
464,13145,Harris County,Georgia
465,13147,Hart County,Georgia
466,13149,Heard County,Georgia
467,13151,Henry County,Georgia
468,13153,Houston County,Georgia
469,13155,Irwin County,Georgia
470,13157,Jackson County,Georgia
471,13159,Jasper County,Georgia
472,13161,Jeff Davis County,Georgia
473,13163,Jefferson County,Georgia
474,13165,Jenkins County,Georgia
475,13167,Johnson County,Georgia
476,13169,Jones County,Georgia
477,13171,Lamar County,Georgia
478,13173,Lanier County,Georgia
479,13175,Laurens County,Georgia
480,13177,Lee County,Georgia
481,13179,Liberty County,Georgia
482,13181,Lincoln County,Georgia
483,13183,Long County,Georgia
484,13185,Lowndes County,Georgia
485,13187,Lumpkin County,Georgia
486,13189,McDuffie County,Georgia
487,13191,McIntosh County,Georgia
488,13193,Macon County,Georgia
489,13195,Madison County,Georgia
490,13197,Marion County,Georgia
491,13199,Meriwether County,Georgia
492,13201,Miller County,Georgia
493,13205,Mitchell County,Georgia
494,13207,Monroe County,Georgia
495,13209,Montgomery County,Georgia
496,13211,Morgan County,Georgia
497,13213,Murray County,Georgia
498,13215,Muscogee County,Georgia
499,13217,Newton County,Georgia
500,13219,Oconee County,Georgia
501,13221,Oglethorpe County,Georgia
502,13223,Paulding County,Georgia
503,13225,Peach County,Georgia
504,13227,Pickens County,Georgia
505,13229,Pierce County,Georgia
506,13231,Pike County,Georgia
507,13233,Polk County,Georgia
508,13235,Pulaski County,Georgia
509,13237,Putnam County,Georgia
510,13239,Quitman County,Georgia
511,13241,Rabun County,Georgia
512,13243,Randolph County,Georgia
513,13245,Richmond County,Georgia
514,13247,Rockdale County,Georgia
515,13249,Schley County,Georgia
516,13251,Screven County,Georgia
517,13253,Seminole County,Georgia
518,13255,Spalding County,Georgia
519,13257,Stephens County,Georgia
520,13259,Stewart County,Georgia
521,13261,Sumter County,Georgia
522,13263,Talbot County,Georgia
523,13265,Taliaferro County,Georgia
524,13267,Tattnall County,Georgia
525,13269,Taylor County,Georgia
526,13271,Telfair County,Georgia
527,13273,Terrell County,Georgia
528,13275,Thomas County,Georgia
529,13277,Tift County,Georgia
530,13279,Toombs County,Georgia
531,13281,Towns County,Georgia
532,13283,Treutlen County,Georgia
533,13285,Troup County,Georgia
534,13287,Turner County,Georgia
535,13289,Twiggs County,Georgia
536,13291,Union County,Georgia
537,13293,Upson County,Georgia
538,13295,Walker County,Georgia
539,13297,Walton County,Georgia
540,13299,Ware County,Georgia
541,13301,Warren County,Georgia
542,13303,Washington County,Georgia
543,13305,Wayne County,Georgia
544,13307,Webster County,Georgia
545,13309,Wheeler County,Georgia
546,13311,White County,Georgia
547,13313,Whitfield County,Georgia
548,13315,Wilcox County,Georgia
549,13317,Wilkes County,Georgia
550,13319,Wilkinson County,Georgia
551,13321,Worth County,Georgia
552,66010,Guam[3],Guam
553,15001,Hawaii County,Hawaiʻi
554,15003,"Honolulu, City and County of[m]",Hawaiʻi
555,15005,Kalawao County,Hawaiʻi
556,15007,Kauai County,Hawaiʻi
557,15009,Maui County,Hawaiʻi
558,16001,Ada County,Idaho
559,16003,Adams County,Idaho
560,16005,Bannock County,Idaho
561,16007,Bear Lake County,Idaho
562,16009,Benewah County,Idaho
563,16011,Bingham County,Idaho
564,16013,Blaine County,Idaho
565,16015,Boise County,Idaho
566,16017,Bonner County,Idaho
567,16019,Bonneville County,Idaho
568,16021,Boundary County,Idaho
569,16023,Butte County,Idaho
570,16025,Camas County,Idaho
571,16027,Canyon County,Idaho
572,16029,Caribou County,Idaho
573,16031,Cassia County,Idaho
574,16033,Clark County,Idaho
575,16035,Clearwater County,Idaho
576,16037,Custer County,Idaho
577,16039,Elmore County,Idaho
578,16041,Franklin County,Idaho
579,16043,Fremont County,Idaho
580,16045,Gem County,Idaho
581,16047,Gooding County,Idaho
582,16049,Idaho County,Idaho
583,16051,Jefferson County,Idaho
584,16053,Jerome County,Idaho
585,16055,Kootenai County,Idaho
586,16057,Latah County,Idaho
587,16059,Lemhi County,Idaho
588,16061,Lewis County,Idaho
589,16063,Lincoln County,Idaho
590,16065,Madison County,Idaho
591,16067,Minidoka County,Idaho
592,16069,Nez Perce County,Idaho
593,16071,Oneida County,Idaho
594,16073,Owyhee County,Idaho
595,16075,Payette County,Idaho
596,16077,Power County,Idaho
597,16079,Shoshone County,Idaho
598,16081,Teton County,Idaho
599,16083,Twin Falls County,Idaho
600,16085,Valley County,Idaho
601,16087,Washington County,Idaho
602,17001,Adams County,Illinois
603,17003,Alexander County,Illinois
604,17005,Bond County,Illinois
605,17007,Boone County,Illinois
606,17009,Brown County,Illinois
607,17011,Bureau County,Illinois
608,17013,Calhoun County,Illinois
609,17015,Carroll County,Illinois
610,17017,Cass County,Illinois
611,17019,Champaign County,Illinois
612,17021,Christian County,Illinois
613,17023,Clark County,Illinois
614,17025,Clay County,Illinois
615,17027,Clinton County,Illinois
616,17029,Coles County,Illinois
617,17031,Cook County,Illinois
618,17033,Crawford County,Illinois
619,17035,Cumberland County,Illinois
620,17037,DeKalb County,Illinois
621,17039,De Witt County,Illinois
622,17041,Douglas County,Illinois
623,17043,DuPage County,Illinois
624,17045,Edgar County,Illinois
625,17047,Edwards County,Illinois
626,17049,Effingham County,Illinois
627,17051,Fayette County,Illinois
628,17053,Ford County,Illinois
629,17055,Franklin County,Illinois
630,17057,Fulton County,Illinois
631,17059,Gallatin County,Illinois
632,17061,Greene County,Illinois
633,17063,Grundy County,Illinois
634,17065,Hamilton County,Illinois
635,17067,Hancock County,Illinois
636,17069,Hardin County,Illinois
637,17071,Henderson County,Illinois
638,17073,Henry County,Illinois
639,17075,Iroquois County,Illinois
640,17077,Jackson County,Illinois
641,17079,Jasper County,Illinois
642,17081,Jefferson County,Illinois
643,17083,Jersey County,Illinois
644,17085,Jo Daviess County,Illinois
645,17087,Johnson County,Illinois
646,17089,Kane County,Illinois
647,17091,Kankakee County,Illinois
648,17093,Kendall County,Illinois
649,17095,Knox County,Illinois
650,17097,Lake County,Illinois
651,17099,LaSalle County,Illinois
652,17101,Lawrence County,Illinois
653,17103,Lee County,Illinois
654,17105,Livingston County,Illinois
655,17107,Logan County,Illinois
656,17109,McDonough County,Illinois
657,17111,McHenry County,Illinois
658,17113,McLean County,Illinois
659,17115,Macon County,Illinois
660,17117,Macoupin County,Illinois
661,17119,Madison County,Illinois
662,17121,Marion County,Illinois
663,17123,Marshall County,Illinois
664,17125,Mason County,Illinois
665,17127,Massac County,Illinois
666,17129,Menard County,Illinois
667,17131,Mercer County,Illinois
668,17133,Monroe County,Illinois
669,17135,Montgomery County,Illinois
670,17137,Morgan County,Illinois
671,17139,Moultrie County,Illinois
672,17141,Ogle County,Illinois
673,17143,Peoria County,Illinois
674,17145,Perry County,Illinois
675,17147,Piatt County,Illinois
676,17149,Pike County,Illinois
677,17151,Pope County,Illinois
678,17153,Pulaski County,Illinois
679,17155,Putnam County,Illinois
680,17157,Randolph County,Illinois
681,17159,Richland County,Illinois
682,17161,Rock Island County,Illinois
683,17163,St. Clair County,Illinois
684,17165,Saline County,Illinois
685,17167,Sangamon County,Illinois
686,17169,Schuyler County,Illinois
687,17171,Scott County,Illinois
688,17173,Shelby County,Illinois
689,17175,Stark County,Illinois
690,17177,Stephenson County,Illinois
691,17179,Tazewell County,Illinois
692,17181,Union County,Illinois
693,17183,Vermilion County,Illinois
694,17185,Wabash County,Illinois
695,17187,Warren County,Illinois
696,17189,Washington County,Illinois
697,17191,Wayne County,Illinois
698,17193,White County,Illinois
699,17195,Whiteside County,Illinois
700,17197,Will County,Illinois
701,17199,Williamson County,Illinois
702,17201,Winnebago County,Illinois
703,17203,Woodford County,Illinois
704,18001,Adams County,Indiana
705,18003,Allen County,Indiana
706,18005,Bartholomew County,Indiana
707,18007,Benton County,Indiana
708,18009,Blackford County,Indiana
709,18011,Boone County,Indiana
710,18013,Brown County,Indiana
711,18015,Carroll County,Indiana
712,18017,Cass County,Indiana
713,18019,Clark County,Indiana
714,18021,Clay County,Indiana
715,18023,Clinton County,Indiana
716,18025,Crawford County,Indiana
717,18027,Daviess County,Indiana
718,18029,Dearborn County,Indiana
719,18031,Decatur County,Indiana
720,18033,DeKalb County,Indiana
721,18035,Delaware County,Indiana
722,18037,Dubois County,Indiana
723,18039,Elkhart County,Indiana
724,18041,Fayette County,Indiana
725,18043,Floyd County,Indiana
726,18045,Fountain County,Indiana
727,18047,Franklin County,Indiana
728,18049,Fulton County,Indiana
729,18051,Gibson County,Indiana
730,18053,Grant County,Indiana
731,18055,Greene County,Indiana
732,18057,Hamilton County,Indiana
733,18059,Hancock County,Indiana
734,18061,Harrison County,Indiana
735,18063,Hendricks County,Indiana
736,18065,Henry County,Indiana
737,18067,Howard County,Indiana
738,18069,Huntington County,Indiana
739,18071,Jackson County,Indiana
740,18073,Jasper County,Indiana
741,18075,Jay County,Indiana
742,18077,Jefferson County,Indiana
743,18079,Jennings County,Indiana
744,18081,Johnson County,Indiana
745,18083,Knox County,Indiana
746,18085,Kosciusko County,Indiana
747,18087,LaGrange County,Indiana
748,18089,Lake County,Indiana
749,18091,LaPorte County,Indiana
750,18093,Lawrence County,Indiana
751,18095,Madison County,Indiana
752,18097,Marion County,Indiana
753,18099,Marshall County,Indiana
754,18101,Martin County,Indiana
755,18103,Miami County,Indiana
756,18105,Monroe County,Indiana
757,18107,Montgomery County,Indiana
758,18109,Morgan County,Indiana
759,18111,Newton County,Indiana
760,18113,Noble County,Indiana
761,18115,Ohio County,Indiana
762,18117,Orange County,Indiana
763,18119,Owen County,Indiana
764,18121,Parke County,Indiana
765,18123,Perry County,Indiana
766,18125,Pike County,Indiana
767,18127,Porter County,Indiana
768,18129,Posey County,Indiana
769,18131,Pulaski County,Indiana
770,18133,Putnam County,Indiana
771,18135,Randolph County,Indiana
772,18137,Ripley County,Indiana
773,18139,Rush County,Indiana
774,18141,St. Joseph County,Indiana
775,18143,Scott County,Indiana
776,18145,Shelby County,Indiana
777,18147,Spencer County,Indiana
778,18149,Starke County,Indiana
779,18151,Steuben County,Indiana
780,18153,Sullivan County,Indiana
781,18155,Switzerland County,Indiana
782,18157,Tippecanoe County,Indiana
783,18159,Tipton County,Indiana
784,18161,Union County,Indiana
785,18163,Vanderburgh County,Indiana
786,18165,Vermillion County,Indiana
787,18167,Vigo County,Indiana
788,18169,Wabash County,Indiana
789,18171,Warren County,Indiana
790,18173,Warrick County,Indiana
791,18175,Washington County,Indiana
792,18177,Wayne County,Indiana
793,18179,Wells County,Indiana
794,18181,White County,Indiana
795,18183,Whitley County,Indiana
796,19001,Adair County,Iowa
797,19003,Adams County,Iowa
798,19005,Allamakee County,Iowa
799,19007,Appanoose County,Iowa
800,19009,Audubon County,Iowa
801,19011,Benton County,Iowa
802,19013,Black Hawk County,Iowa
803,19015,Boone County,Iowa
804,19017,Bremer County,Iowa
805,19019,Buchanan County,Iowa
806,19021,Buena Vista County,Iowa
807,19023,Butler County,Iowa
808,19025,Calhoun County,Iowa
809,19027,Carroll County,Iowa
810,19029,Cass County,Iowa
811,19031,Cedar County,Iowa
812,19033,Cerro Gordo County,Iowa
813,19035,Cherokee County,Iowa
814,19037,Chickasaw County,Iowa
815,19039,Clarke County,Iowa
816,19041,Clay County,Iowa
817,19043,Clayton County,Iowa
818,19045,Clinton County,Iowa
819,19047,Crawford County,Iowa
820,19049,Dallas County,Iowa
821,19051,Davis County,Iowa
822,19053,Decatur County,Iowa
823,19055,Delaware County,Iowa
824,19057,Des Moines County,Iowa
825,19059,Dickinson County,Iowa
826,19061,Dubuque County,Iowa
827,19063,Emmet County,Iowa
828,19065,Fayette County,Iowa
829,19067,Floyd County,Iowa
830,19069,Franklin County,Iowa
831,19071,Fremont County,Iowa
832,19073,Greene County,Iowa
833,19075,Grundy County,Iowa
834,19077,Guthrie County,Iowa
835,19079,Hamilton County,Iowa
836,19081,Hancock County,Iowa
837,19083,Hardin County,Iowa
838,19085,Harrison County,Iowa
839,19087,Henry County,Iowa
840,19089,Howard County,Iowa
841,19091,Humboldt County,Iowa
842,19093,Ida County,Iowa
843,19095,Iowa County,Iowa
844,19097,Jackson County,Iowa
845,19099,Jasper County,Iowa
846,19101,Jefferson County,Iowa
847,19103,Johnson County,Iowa
848,19105,Jones County,Iowa
849,19107,Keokuk County,Iowa
850,19109,Kossuth County,Iowa
851,19111,Lee County,Iowa
852,19113,Linn County,Iowa
853,19115,Louisa County,Iowa
854,19117,Lucas County,Iowa
855,19119,Lyon County,Iowa
856,19121,Madison County,Iowa
857,19123,Mahaska County,Iowa
858,19125,Marion County,Iowa
859,19127,Marshall County,Iowa
